contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260723P00715000,2026-07-23,0.9189696845949074,put,715.0,705.27001953125,6.71,10.54,8.625,862.5,683,526,0.4440579710144927,0.1901936450195313,9.892865524572471,0.14699890139970684,-0.9222459195429896,0.021613903117984678,-0.4602374717101873,0.05336086628523911,0.05148116520863041,0.9236364765600249,1.0,6.730627949483038,698.539391581767,16.460553847643837,0.9084700113210247,-95.0,bearish,0.75,81.28725427715493,False,False,False,0.013796106738263036
QQQ260723P00719000,2026-07-23,0.9189696845949074,put,719.0,705.27001953125,10.22,13.81,12.015,1201.5,52,278,0.29879317519766957,0.15479360839843753,13.669584297265601,0.13770988741286727,-0.9931464860925024,0.003485906388929851,0.021532675218072932,0.0017921494147376555,0.006757528879851121,0.993305892971534,1.0,5.477881172006908,699.792138359243,19.207806739619286,0.5986522463270316,-95.0,bearish,0.75,81.13087800746351,False,False,False,0.01946769334938625
QQQ260723P00720000,2026-07-23,0.9189696845949074,put,720.0,705.27001953125,10.78,14.71,12.745000000000001,1274.5,298,630,0.3083562181247549,0.1381922119140625,14.659413566725675,0.15020898915070013,-0.9984642194368921,0.001011875450139384,0.06581163095605207,0.005163721534409734,0.0017511759873748917,0.9985107518154509,1.0,4.890386131535344,700.3796333997146,19.620311619120116,0.5394516766669373,-95.0,bearish,0.75,80.8065889987445,False,False,False,0.020885590002166943
QQQ260723P00714000,2026-07-23,0.9189696845949074,put,714.0,705.27001953125,6.24,9.75,7.995,799.5,1130,393,0.4390243902439024,0.192390888671875,8.994519433707183,0.12501806550433803,-0.8959933283140348,0.026521902618458736,-0.5985406021775078,0.07486436550062636,0.0639011012486397,0.8977372121726268,1.0,6.808384646016038,698.4616348852339,15.538310629053512,0.9435035183306457,-95.0,bearish,0.75,80.78779071065057,False,False,False,0.012378210085482344
QQQ260723P00713000,2026-07-23,0.9189696845949074,put,713.0,705.27001953125,5.07,9.02,7.045,704.5,890,296,0.5606813342796308,0.196297099609375,8.14066189008497,0.15552333429169218,-0.8624770431523521,0.03165169433239184,-0.763357990868018,0.10835457641845536,0.07780903185749649,0.8646419436561643,1.0,6.946618773185818,698.3234007580642,14.676544840524798,1.083256897164627,-95.0,bearish,0.75,80.72267242336957,True,False,False,0.01096031343270143
QQQ260723P00723000,2026-07-23,0.9189696845949074,put,723.0,705.27001953125,14.21,17.79,16.0,1600.0,22,112,0.2237499999999999,0.18555501953124998,17.665083963641564,0.10406774772759775,-0.9959774216203726,0.0018082049460379401,0.036735832984650135,0.0022959895615406335,0.004201840143267986,0.9960991557318886,1.0,6.566474923468922,698.703544607781,24.29640013825974,0.5185250086412339,-95.0,bearish,0.75,80.6475232766306,False,False,False,0.025139279960509464
QQQ260723P00721000,2026-07-23,0.9189696845949074,put,721.0,705.27001953125,11.75,15.63,13.690000000000001,1369.0000000000002,10,106,0.283418553688824,1.0000000000000003e-05,15.657175827650576,0.14369436286709814,-0.9999874114534201,0.0,0.07921922893291666,0.005786649301162648,0.0,1.0,1.0,0.00035388290438368017,705.2696656483456,15.73027933139133,0.14903428278972441,-95.0,bearish,0.625,75.72736205891987,False,False,False,0.022303486654947857
QQQ260723P00722000,2026-07-23,0.9189696845949074,put,722.0,705.27001953125,12.69,16.57,14.629999999999999,1463.0,11,80,0.2652084757347916,1.0000000000000003e-05,16.65706253643623,0.13855519729570953,-0.9999874114534201,0.0,0.07934250263673955,0.005423274274554993,0.0,1.0,1.0,0.00035388290438368017,705.2696656483456,16.730279245774796,0.14355975705911117,-95.0,bearish,0.5375000000000001,73.94449897098185,False,False,False,0.02372138330772855
QQQ260723P00740000,2026-07-23,0.9189696845949074,put,740.0,705.27001953125,31.21,34.79,33.0,3300.0,21,0,0.10848484848484843,0.32129584960937496,34.65987602489952,0.05029927348180352,-0.9984856068879181,0.0004296390766452201,0.05122542927842403,0.001552285735709819,0.0017287335317878883,0.9985750750483584,1.0,11.37011084261877,693.8999086886313,46.10003455623348,0.39697074412828726,-95.0,bearish,0.3643939393939395,72.18199572567744,False,False,False,0.04924352305778279
QQQ260723P00755000,2026-07-23,0.9189696845949074,put,755.0,705.27001953125,45.69,50.0,47.845,4784.5,2,0,0.09008255826105137,0.500005,49.671991852883366,0.03818563805796571,-0.9965130133948447,0.0005900742729922369,-0.017373588492335224,0.00036312234282234767,0.0036948787657519223,0.9967788127365141,1.0,17.694322160636197,687.5756973706139,67.42424452984255,0.4092223749575201,-95.0,bearish,0.1623968021736858,68.1996969078259,False,False,False,0.07051197284949451
